id,title,creator,date,location,image,source,subject
Q130384609,Lady Hamilton en sibylle,Élisabeth Vigée Le Brun,1791,,https://commons.wikimedia.org/wiki/Special:FilePath/Elisabeth%2520Vig%25C3%25A9e%2520Le%2520Brun%2520-%2520Emma%2520Hart%252C%2520later%2520Lady%2520Hamilton%252C%2520as%2520the%2520Cumaen%2520Sibyl.jpg,https://www.wikidata.org/wiki/Q130384609,Emma Hamilton
Q29214738,Sainte Catherine de Sienne,Jacques-Louis Touzé,1791,église Saint-Thomas-d'Aquin de Paris,,https://www.wikidata.org/wiki/Q29214738,Catherine de Sienne
Q105632611,,Élisabeth Vigée Le Brun,1791,,https://commons.wikimedia.org/wiki/Special:FilePath/Anna%2520Zetzner%2520%25281764-1814%2529%2520by%2520Vig%25C3%25A9e%2520Le%2520Brun.jpg,https://www.wikidata.org/wiki/Q105632611,
Q104530000,,Henri-Pierre Danloux,1792,Staatliche Kunsthalle Karlsruhe,https://commons.wikimedia.org/wiki/Special:FilePath/Henri-Pierre%2520Danloux%2520-%2520Mademoiselle%2520Rosalie%2520Duth%25C3%25A9%2520-%25202755%2520-%2520Staatliche%2520Kunsthalle%2520Karlsruhe.jpg,https://www.wikidata.org/wiki/Q104530000,Rosalie Duthé
Q107270805,Portrait de Mlle Lange en Sylvie,Jean-François Colson,1792,Comédie-Française,https://commons.wikimedia.org/wiki/Special:FilePath/1793%2520-%2520Sylvie%2520by%2520Colson.jpg,https://www.wikidata.org/wiki/Q107270805,Mademoiselle Lange
Q122834509,Portrait de Isabella Teotochi Albrizzi,Élisabeth Vigée Le Brun,1792,Musée d'Art de Toledo,https://commons.wikimedia.org/wiki/Special:FilePath/Isabella%2520Teotochi%2520Albrizzi.jpg,https://www.wikidata.org/wiki/Q122834509,Isabella Teotochi Albrizzi
Q21731529,Portrait d'Anne Pitt en Hébé,Élisabeth Vigée Le Brun,1792,musée de l'Ermitage,https://commons.wikimedia.org/wiki/Special:FilePath/Elisabeth%2520Vig%25C3%25A9e-Lebrun%2520-%2520Portrait%2520of%2520Anna%2520Pitt%2520as%2520Hebe%2520-%2520WGA25079.jpg,https://www.wikidata.org/wiki/Q21731529,Anne Pitt
Q131785992,Portrait de l'auteur,Marie-Geneviève Bouliard,1792,musée des Beaux-Arts d'Angers,,https://www.wikidata.org/wiki/Q131785992,Marie-Geneviève Bouliard
Q23024131,Autoportrait,Marie-Geneviève Bouliard,1792,Norton Simon Museum,https://commons.wikimedia.org/wiki/Special:FilePath/Marie-Genevi%25C3%25A8ve%2520Bouliar%2520-%25201790.jpg,https://www.wikidata.org/wiki/Q23024131,Marie-Geneviève Bouliard
Q114247592,Portrait de Julie Lebrun portant une couronne de roses,Élisabeth Vigée Le Brun,1792,Galerie nationale de Parme,https://commons.wikimedia.org/wiki/Special:FilePath/Elisabeth%2520Vig%25C3%25A9e-Lebrun%2520-%2520The%2520Daughter%2527s%2520Portrait%2520-%2520WGA25073.jpg,https://www.wikidata.org/wiki/Q114247592,Julie Le Brun
